Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Blaxlands Creek,R07 - GPM,2460,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Chambigne,R07 - GPM,2460,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Jackadgery,R07 - GPM,2460,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Mountain View,R07 - GPM,2460,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Eatonsville,R07 - GPM,2460,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Junction Hill,R07 - GPM,2460,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Wooli,R07 - GPM,2462,NSW,GO,1 in 4,Very Low (<10),0,3,0,0,1,4,25.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
(No Suburb Listed),R07 - GPM,2462,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Diggers Camp,R07 - GPM,2462,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Swan Creek,R07 - GPM,2462,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Minnie Water,R07 - GPM,2462,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Pillar Valley,R07 - GPM,2462,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Gulmarrad,R07 - GPM,2463,NSW,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
(No Suburb Listed),R07 - GPM,2463,NSW,UNPROVEN,No Claims,Very Low (<10),1,2,0,0,0,3,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Maclean,R07 - GPM,2463,NSW,UNPROVEN,No Claims,Very Low (<10),1,1,0,0,0,2,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Ashby Heights,R07 - GPM,2463,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Bonalbo,R07 - GPM,2469,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Woombah,R07 - GPM,2469,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Irvington,R07 - GPM,2470,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Naughtons Gap,R07 - GPM,2470,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Spring Grove,R07 - GPM,2470,NSW,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
East Coraki,R07 - GPM,2471,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Cawongla,R07 - GPM,2474,NSW,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Wadeville,R07 - GPM,2474,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Smiths Creek,R07 - GPM,2474,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Kyogle,R07 - GPM,2474,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Acacia Creek,R07 - GPM,2476,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Woodenbong,R07 - GPM,2476,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Cullendore,R07 - GPM,2476,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Koreelah,R07 - GPM,2476,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
East Wardell,R07 - GPM,2477,NSW,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Rous Mill,R07 - GPM,2477,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Alstonville,R07 - GPM,2477,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Wollongbar,R07 - GPM,2477,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Ballina,R07 - GPM,2478,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Empire Vale,R07 - GPM,2478,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
West Ballina,R07 - GPM,2478,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Binna Burra,R07 - GPM,2479,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Coorabell,R07 - GPM,2479,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Dunoon,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Federal,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
(No Suburb Listed),R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Booyong,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Coffee Camp,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Corndale,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Girards Hill,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Rosebank,R07 - GPM,2480,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Lismore,R07 - GPM,2480,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,1,0,0,2,0.00%,50.00%,50.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Byron Bay,R07 - GPM,2481,NSW,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Myocum,R07 - GPM,2481,NSW,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Mullumbimby,R07 - GPM,2482,NSW,GO,1 in 4,Very Low (<10),0,0,2,1,1,4,25.00%,75.00%,50.00%,25.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Main Arm,R07 - GPM,2482,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,13/08/2025,4-5cm,,16/1/2025,2-3cm,,16/1/2025,2-3cm,
Brunswick Heads,R07 - GPM,2483,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Condong,R07 - GPM,2484,NSW,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bray Park,R07 - GPM,2484,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Byangum,R07 - GPM,2484,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Round Mountain,R07 - GPM,2484,NSW,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2486,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bungalora,R07 - GPM,2486,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,28/11/2022,2-3cm,,,,,,,
Fingal Head,R07 - GPM,2487,NSW,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2487,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Chinderah,R07 - GPM,2487,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,28/11/2022,2-3cm,,,,,,,
Pottsville,R07 - GPM,2489,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Hastings Point,R07 - GPM,2489,NSW,KEEP AWAY,No Claims,Very Low (<10),0,0,1,0,0,1,0.00%,100.00%,100.00%,0.00%,28/11/2022,2-3cm,,,,,,,
West Wollongong,R07 - GPM,2500,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Port Kembla,R07 - GPM,2505,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2526,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Farmborough Heights,R07 - GPM,2526,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Curramore,R07 - GPM,2533,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Jaspers Brush,R07 - GPM,2535,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2536,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Saint Georges Basin,R07 - GPM,2540,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Vincentia,R07 - GPM,2540,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bringelly,R07 - GPM,2556,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bradbury,R07 - GPM,2560,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2565,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Denham Court,R07 - GPM,2565,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Ingleburn,R07 - GPM,2565,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Saint Andrews,R07 - GPM,2566,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Narellan,R07 - GPM,2567,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Grasmere,R07 - GPM,2570,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Oran Park,R07 - GPM,2570,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Spring Farm,R07 - GPM,2570,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Thirlmere,R07 - GPM,2572,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bargo,R07 - GPM,2574,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Bullio,R07 - GPM,2575,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Berrima,R07 - GPM,2577,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Baw Baw,R07 - GPM,2580,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Goulburn,R07 - GPM,2580,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Cunningar,R07 - GPM,2587,NSW,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Murrumburrah,R07 - GPM,2587,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Cootamundra,R07 - GPM,2590,NSW,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Young,R07 - GPM,2594,NSW,ON THE FENCE,No Claims,Very Low (<10),0,3,0,1,0,4,0.00%,25.00%,0.00%,25.00%,28/11/2022,2-3cm,,,,,,,
Yarralumla,R07 - GPM,2600,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Denman Prospect,R07 - GPM,2611,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Aranda,R07 - GPM,2614,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Dunlop,R07 - GPM,2615,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Florey,R07 - GPM,2615,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Carwoola,R07 - GPM,2620,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Queanbeyan East,R07 - GPM,2620,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Wamboin,R07 - GPM,2620,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
North Albury,R07 - GPM,2640,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
(No Suburb Listed),R07 - GPM,2645,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Urana,R07 - GPM,2645,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Mulwala,R07 - GPM,2647,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Temora,R07 - GPM,2666,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,28/11/2022,2-3cm,,,,,,,
Gundagai,R07 - GPM,2722,NSW,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Coolac,R07 - GPM,2727,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Moama,R07 - GPM,2731,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Mulgoa,R07 - GPM,2745,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Cambridge Park,R07 - GPM,2747,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Cranebrook,R07 - GPM,2749,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Penrith,R07 - GPM,2750,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Hobartville,R07 - GPM,2753,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Freemans Reach,R07 - GPM,2756,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R07 - GPM,2758,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Bilpin,R07 - GPM,2758,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Dean Park,R07 - GPM,2761,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Quakers Hill,R07 - GPM,2763,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
(No Suburb Listed),R07 - GPM,2767,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Stanhope Gardens,R07 - GPM,2768,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Shalvey,R07 - GPM,2770,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Sun Valley,R07 - GPM,2777,NSW,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
South Bowenfels,R07 - GPM,2790,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Kelso,R07 - GPM,2795,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Neville,R07 - GPM,2799,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Springside,R07 - GPM,2800,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Crowther,R07 - GPM,2803,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Gooloogong,R07 - GPM,2805,NSW,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
