Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
(No Suburb Listed),R03 - SC,4507,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,0,1,0,3,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Mango Hill,R03 - SC,4509,QLD,UNPROVEN,No Claims,Very Low (<10),1,3,0,0,0,4,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
North Lakes,R03 - SC,4509,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,0,1,0,3,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Meldale,R03 - SC,4510,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Moodlu,R03 - SC,4510,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,2,0,2,0.00%,100.00%,0.00%,100.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Rocksberg,R03 - SC,4510,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,1,1,0,2,0.00%,100.00%,50.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Donnybrook,R03 - SC,4510,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,1,0,0,1,0.00%,100.00%,100.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Sandstone Point,R03 - SC,4511,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,0,1,0,3,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bracalba,R03 - SC,4512,QLD,UNPROVEN,No Claims,Very Low (<10),0,3,0,0,0,3,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cedarton,R03 - SC,4514,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Woodford,R03 - SC,4514,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Sandy Creek,R03 - SC,4515,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Royston,R03 - SC,4515,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Beerburrum,R03 - SC,4517,QLD,GO,1 in 2,Very Low (<10),0,0,0,1,1,2,50.00%,50.00%,0.00%,50.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4518,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4519,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Draper,R03 - SC,4520,QLD,GO,1 in 3,Very Low (<10),0,2,0,0,1,3,33.30%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Samsonvale,R03 - SC,4520,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Mount Nebo,R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Closeburn,R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Kobble Creek,R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Samford Valley,R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Yugar,R03 - SC,4520,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Mount Mee,R03 - SC,4521,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Mount Pleasant,R03 - SC,4521,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Dayboro,R03 - SC,4521,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,0,1,0,3,0.00%,33.30%,0.00%,33.30%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Rush Creek,R03 - SC,4521,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4550,QLD,UNPROVEN,No Claims,Very Low (<10),1,1,0,0,0,2,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Battery Hill,R03 - SC,4551,QLD,ON THE FENCE,No Claims,Very Low (<10),1,2,0,1,0,4,0.00%,25.00%,0.00%,25.00%,24/11/25,4-5cm,,,,,,,
Kings Beach,R03 - SC,4551,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Shelly Beach,R03 - SC,4551,QLD,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Bald Knob,R03 - SC,4552,QLD,GO,1 in 3,Very Low (<10),0,1,0,1,1,3,33.30%,33.30%,0.00%,33.30%,24/11/25,4-5cm,,,,,,,
North Maleny,R03 - SC,4552,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,2,3,66.70%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Reesville,R03 - SC,4552,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Cambroon,R03 - SC,4552,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Kenilworth,R03 - SC,4552,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
(No Suburb Listed),R03 - SC,4552,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Conondale,R03 - SC,4552,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,24/11/25,4-5cm,,,,,,,
Booroobin,R03 - SC,4552,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,24/11/25,4-5cm,,,,,,,
Diamond Valley,R03 - SC,4553,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
