Option ID,Option name,,,,,,,,,
306,Real Estate Agency,Person,Label,Single option,label,,,,,
307,Real Estate - Duplicate,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
308,Phone - Inbound,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
309,David S,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
310,Harley M,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
311,Tyson B,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
312,Jackson K,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
313,The Agency Real Estate,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
314,Tyson B Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
315,"Yes, Technical Assessing",Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
316,Logan E,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
317,Hi Connect Solar - Tom,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
318,Do Not Call Again,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
319,AAMI,Organisation,Label,Single option,label,,,,,
320,Roma - QLD,,,,,,,,,
322,"Moreton Region (Wamuran, Bracalba) - QLD",,,,,,,,,
323,Victoria,,,,,,,,,
324,Miguel E,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
325,Maryborough Markets,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
326,Yes,Deal,Client Home For Inspection,Multiple options,2ddb4d3fa396abce0efbaeabf4081392e6e376f6,,,,,
327,No,Deal,Client Home For Inspection,Multiple options,2ddb4d3fa396abce0efbaeabf4081392e6e376f6,,,,,
329,Cal Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
330,Service Tech/Solar Uptime (Door Knock),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
331,Billboard - Gympie,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
332,Brenden Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
333,Roger Door Knock,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
334,Steve Maslen Door Knock (BDM),Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
335,Brenden,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
336,Roger P,Deal,Property Inspector (DONT USE),Single option,9956f3f259340722e9468b533c107f1abc1d7d4c,,,,,
337,Ray White - Roma,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
338,Gatton - QLD,,,,,,,,,
